FID	osm_id	Xstart	Ystart	Xend	Yend	length	startid	endid
1333	27619437	114.3552332	30.5391325	114.3551674	30.5390604	10.18636727	622	613
1334	103639121	114.3579587	30.5391253	114.3580361	30.5389635	19.41460509	908	915
1335	103642340	114.3657123	30.5391051	114.3667843	30.5390863	106.7999321	1209	1240
1336	103642340	114.3618523	30.5389634	114.3640522	30.5391438	219.8115442	1116	1185
1337	366939506	114.357034	30.5386625	114.3572306	30.5391699	60.21888794	802	819
1338	366939492	114.3572306	30.5391699	114.3570848	30.5386393	65.86460822	819	806
1339	103642340	114.3667843	30.5390863	114.3670022	30.5391547	22.24264613	1240	1248
1340	527572907	114.3670022	30.5391547	114.3670579	30.5390794	9.912571365	1248	1249
1341	103942710	114.3500069	30.5392043	114.3503752	30.5385754	78.16806635	164	176
1342	306407535	114.3552332	30.5391325	114.3560832	30.5391977	84.15837245	622	689
1343	103751583	114.3599456	30.5392178	114.3589823	30.5385462	119.4119026	1020	961
1344	103751596	114.3602728	30.5387927	114.3599456	30.5392178	56.65288945	1040	1020
1345	488587938	114.3676263	30.539085	114.3685791	30.5392107	92.52347598	1259	1286
1346	488587938	114.3685791	30.5392107	114.3694643	30.5386706	106.8642607	1286	1302
1347	127188017	114.3497694	30.5392662	114.3500069	30.5392043	23.82092101	148	164
1348	488587939	114.3641644	30.5392503	114.3640522	30.5391438	15.97905845	1189	1185
1349	103642340	114.3640522	30.5391438	114.3657123	30.5391051	163.4815627	1185	1209
1350	103642341	114.3582077	30.5393239	114.3579587	30.5391253	38.96130501	926	908
1351	103642352	114.3587524	30.5393381	114.3582077	30.5393239	52.29402855	954	926
1352	103938360	114.3589823	30.5385462	114.3587524	30.5393381	90.52210854	961	954
1353	366939509	114.3569485	30.5393644	114.3568362	30.5389132	51.16913642	789	770
1354	103751590	114.3604123	30.5393748	114.3599456	30.5392178	48.04871312	1045	1020
1355	103639121	114.3577839	30.5394117	114.3579587	30.5391253	35.96163962	901	908
1356	103642352	114.3582077	30.5393239	114.3577839	30.5394117	41.81718616	926	901
1357	366939494	114.357065	30.5394188	114.3569485	30.5393644	12.70253055	804	789
1358	366939510	114.357065	30.5394188	114.3569323	30.5389106	57.7618321	804	786
1359	366939506	114.3572306	30.5391699	114.357065	30.5394188	34.35247708	819	804
1360	358205735	114.3657145	30.5394012	114.3657123	30.5391051	32.82729126	1210	1209
1361	172747559	114.3511298	30.5394421	114.3512626	30.5387802	76.8608966	246	283
1362	103938248	114.3618523	30.5389634	114.3617935	30.5394142	50.29466415	1116	1113
1363	358205735	114.3617935	30.5394142	114.3641644	30.5392503	257.0447062	1113	1189
1364	488587937	114.3669187	30.539403	114.3668511	30.5393968	6.523323218	1244	1241
1365	103642349	114.3670022	30.5391547	114.3669187	30.539403	28.66984827	1248	1244
1366	366939492	114.3576344	30.5394451	114.3572306	30.5391699	50.07905461	885	819
1367	366939509	114.3580268	30.5389448	114.3576344	30.5394451	67.28712301	913	885
1368	103942710	114.3498314	30.5394849	114.3500069	30.5392043	35.37926163	150	164
1369	103939866	114.3669187	30.539403	114.3676	30.5394526	65.63087893	1244	1258
1370	358205739	114.3676	30.5394526	114.3676263	30.539085	40.83141503	1258	1259
1371	103751598	114.3604123	30.5393748	114.3617811	30.539515	132.2694979	1045	1112
1372	309850914	114.3617935	30.5394142	114.3617811	30.539515	11.23818712	1113	1112
1373	103639121	114.357682	30.5395272	114.3577839	30.5394117	16.11145564	893	901
1374	358205721	114.3529174	30.539075	114.353957	30.5395592	145.8738042	387	489
1375	84246296	114.353957	30.5395592	114.3544757	30.539089	72.14171955	489	538
1376	103939866	114.3676	30.5394526	114.3685791	30.5392107	125.8440414	1258	1286
1377	27619437	114.3560354	30.5395935	114.3552332	30.5391325	94.19817973	685	622
1378	169549506	114.3560354	30.5395935	114.3560832	30.5391977	44.11874406	685	689
1379	358205735	114.3641644	30.5392503	114.3657145	30.5394012	178.9219242	1189	1210
1380	27619437	114.3564138	30.5397159	114.3560354	30.5395935	38.76993318	735	685
1381	366939509	114.3576344	30.5394451	114.3569485	30.5393644	107.5652106	885	789
1382	236801238	114.3505809	30.5386864	114.3498838	30.5397815	138.6163323	193	156
1383	172886592	114.3509712	30.53797726	114.3498838	30.5397815	227.759114	224	156
1384	358205736	114.3657145	30.5394012	114.3663592	30.539812	83.0843775	1210	1231
1385	358205737	114.3663592	30.539812	114.36687	30.5398676	49.40305192	1231	1242
1386	103642349	114.3669187	30.539403	114.36687	30.5398676	51.72904208	1244	1242
1387	358205736	114.3663592	30.539812	114.3664241	30.5398859	10.29118327	1231	1233
1388	27619437	114.3569105	30.5399615	114.3564138	30.5397159	54.96149977	783	735
1389	103642345	114.356712	30.5389209	114.3569105	30.5399615	117.7391373	751	783
1390	27619437	114.357682	30.5395272	114.3569105	30.5399615	88.31347145	893	783
1391	103642352	114.3604125	30.5400216	114.3587524	30.5393381	178.997263	1044	954
1392	84246296	114.3535054	30.540087	114.353957	30.5395592	72.98773384	454	489
1393	103642349	114.36687	30.5398676	114.3668763	30.5400555	20.83998226	1242	1243
1394	666232820	114.3524412	30.5401039	114.3529174	30.539075	122.8800268	359	387
1395	103940157	114.3678045	30.5401048	114.3668763	30.5400555	89.23854422	1263	1243
1396	172525143	114.3524412	30.5401039	114.3535054	30.540087	103.4683123	359	454
1397	103940157	114.3691885	30.5401464	114.3678045	30.5401048	132.8900464	1299	1263
1398	103642352	114.3617688	30.5401678	114.3604125	30.5400216	131.2241469	1111	1044
1399	309850914	114.3617811	30.539515	114.3617688	30.5401678	72.45489286	1112	1111
1400	103938246	114.3571187	30.5402942	114.3569105	30.5399615	41.94765675	812	783
