FID	L	B
91	114.3486699	30.5413569
92	114.3486495	30.53298777
93	114.3486855	30.54190327
94	114.3486955	30.5420739
95	114.3486649	30.5310157
96	114.3487476	30.5412352
97	114.3487525	30.5416342
98	114.3487728	30.5416307
99	114.3487856	30.54151606
100	114.3487857	30.54151513
101	114.348786	30.54151475
102	114.3487532	30.5317621
103	114.3488022	30.5412554
104	114.3487696	30.53109448
105	114.3488445	30.54127105
106	114.3488799	30.54128415
107	114.3488968	30.5416776
108	114.3488684	30.5318483
109	114.3489344	30.5413043
110	114.3489739	30.5314639
111	114.3490164	30.5285283
112	114.3490652	30.5332611
113	114.3490951	30.5407634
114	114.3490649	30.5286584
115	114.3491044	30.5319454
116	114.3491189	30.5290529
117	114.3491791	30.54055905
118	114.3491622	30.5317829
119	114.3492054	30.5319414
120	114.3492063	30.5300324
121	114.3493054	30.533215
122	114.3493409	30.5323119
123	114.3493638	30.5323747
124	114.3493658	30.5314483
125	114.3493946	30.5324633
126	114.3494422	30.5442123
127	114.3493958	30.52828239
128	114.3493984	30.5282892
129	114.3494185	30.5335044
130	114.349508	30.54971738
131	114.349448	30.5326131
132	114.3494463	30.52921
133	114.3494803	30.5326949
134	114.3494824	30.5317356
135	114.349476	30.52842093
136	114.3495689	30.5497105
137	114.3495172	30.5327954
138	114.3495604	30.53559507
139	114.3496023	30.53571481
140	114.3496151	30.5287003
141	114.349652	30.5334078
142	114.349673	30.533466
143	114.3496767	30.53397652
144	114.3497142	30.5340953
145	114.3497124	30.5335753
146	114.349722	30.53430609
147	114.3497488	30.53436595
148	114.3497694	30.5392662
149	114.349786	30.5337657
150	114.3498314	30.5394849
151	114.3498125	30.5299816
152	114.3498445	30.53640801
153	114.3498452	30.5346218
154	114.3498687	30.53647739
155	114.3498709	30.5364836
156	114.3498838	30.5397815
157	114.3498713	30.5339865
158	114.3498833	30.53651927
159	114.3498929	30.53654658
160	114.3498875	30.5340284
161	114.349924	30.53663567
162	114.3499362	30.529228
163	114.3499692	30.53814166
164	114.3500069	30.5392043
165	114.3500172	30.5364861
166	114.3500755	30.5350603
167	114.3501261	30.5344172
168	114.3501441	30.535419
169	114.3501612	30.535018
170	114.3501929	30.5362143
171	114.3501914	30.53480581
172	114.350268	30.5456491
173	114.3503046	30.5358239
